序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2158,600198,大唐电信,10.06,-5.18,-0.55,479050.0,489595444.0,5.0,10.55,10.02,10.51,10.61,0.99,3.68,-198.38,47.83,13114251622.0,13097615028.0,0.1,0.0,23.74,4.25
2159,600696,*ST岩石,2.19,-5.19,-0.12,64121.0,14086025.0,1.73,2.23,2.19,2.19,2.31,1.42,1.92,-4.91,2.55,732488054.0,732488054.0,0.0,0.0,-61.38,-24.48
2160,603211,晋拓股份,22.55,-5.21,-1.24,80111.0,183004866.0,6.31,23.8,22.3,23.66,23.79,2.05,2.95,82.26,4.99,6129270400.0,6129270400.0,0.0,0.09,24.59,0.0
2161,603928,兴业股份,16.68,-5.23,-0.92,86995.0,147676214.0,5.85,17.61,16.58,17.6,17.6,2.44,3.32,44.27,2.82,4371494400.0,4371494400.0,-0.18,-0.24,11.2,3.93
2162,688586,江航装备,14.85,-5.23,-0.82,165013.0,248971497.0,4.85,15.56,14.8,15.56,15.67,1.29,2.09,207.9,4.76,11751386467.0,11751386467.0,-0.2,-0.07,32.59,13.88
2163,600280,中央商场,3.79,-5.25,-0.21,479897.0,184615334.0,5.0,3.96,3.76,3.95,4.0,2.23,4.25,-59.91,6.94,4276388847.0,4276388847.0,0.26,0.0,16.98,-1.56
2164,688337,普源精电,38.72,-5.26,-2.15,34762.0,136653778.0,5.75,41.04,38.69,40.89,40.87,2.52,1.87,138.46,2.39,7506817426.0,7198704769.0,-0.21,-0.15,-18.74,4.96
2165,603716,塞力医疗,23.94,-5.26,-1.33,144854.0,353039828.0,4.47,25.03,23.9,25.0,25.27,1.89,6.89,-43.26,4.75,5032001603.0,5032001603.0,0.0,0.0,0.38,16.5
2166,600246,万通发展,13.31,-5.27,-0.74,886304.0,1192292581.0,7.9,14.11,13.0,14.05,14.05,1.35,4.69,-953.07,4.8,25161390056.0,25161390056.0,-0.22,-0.15,11.57,8.21
2167,688255,凯尔达,35.69,-5.28,-1.99,20134.0,73703071.0,6.85,38.21,35.63,37.98,37.68,1.15,1.83,230.58,3.7,3920863070.0,3920863070.0,-0.11,-0.17,-0.72,-2.57
2168,603809,豪能股份,13.45,-5.28,-0.75,420071.0,575816926.0,5.77,14.25,13.43,14.25,14.2,2.6,4.56,34.96,3.39,12377884454.0,12377884454.0,0.07,-0.07,2.2,-6.27
2169,688071,华依科技,38.9,-5.31,-2.18,36242.0,143748855.0,5.23,40.99,38.84,40.0,41.08,1.59,4.27,-84.48,3.12,3298320264.0,3298320264.0,-0.18,-0.15,11.49,17.27
2170,688609,九联科技,9.62,-5.31,-0.54,207667.0,203641329.0,4.72,10.08,9.6,10.02,10.16,2.9,4.15,-30.1,5.41,4810000000.0,4810000000.0,0.0,0.21,-3.7,-5.78
